uid,id.orig_p,id.resp_p,proto,service,true_label,predicted_label,confidence,correct
CPwDED4aFMrGG0ndNb,43356,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
C5e9Zq15PJN4DvXbx7,43372,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CuZsPK3dUDDxvhhbE,43382,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CMbSm110tHHfFr4IT2,43394,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CSz9i4ZHv3FpMjctd,43404,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CraRTk3T0wX2W4coTb,43420,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CKJLEw2DD190vhYaxd,43430,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CrFHlM4LLCIvODQug,43442,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
CSox861goI1nDL7Y6,43452,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
Cd5LUI32qqmEfXdOU6,43468,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CTE7Uu1vHv5A0jj7Wg,43484,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
Cz7vB51StQ98dbDDu5,43500,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
CDBPOSgbykAKa6rzi,43510,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
C7m3Nh4ukznXNQGODj,43526,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CZcFwy4nqa4Qiw1Psf,43534,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
Cd3XyZ3ldMhNixcyR1,43546,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
C7NGr22UxbH7EeyzR8,43558,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
CkKR5lgOIel8hgMc,43564,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
Cjp7qv1r2htroR4dX4,43580,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
CYqeHv4SMOy3Fmn9P2,43582,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
C7txTc33su4VIvJdg,43586,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CFNlEu4t4ONlCv95xg,43598,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
C6Zgi31N0BfNknPV46,43614,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CLFf12tNdi67HqYg3,43616,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.35,True
CzhOPHWJlb8Qc9b1a,43630,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CUL2d21cxzkEgTrah9,43642,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CqRvYF2yhfXJnoXct,43650,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CK1vGy16dub5bbjGzk,43662,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CZom6YT6jrDpEDug7,43678,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CLVJTI2qupSKON14qk,43692,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CVkGel4K9cOsk5coLl,43696,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CY4SC6Oj7jlDbRwXl,43708,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CZLpPd1pCoA2RVmfGe,43720,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
CpZm663bwRK0wtF6Nd,43736,1883,tcp,mqtt,MQTT_Publish,MQTT_Publish,0.36,True
